"","norms","count","words","length"
"104","aaacdnr",2,"anacard",7
"105","aaacdnr",2,"caranda",7
"106","aaacdnrs",2,"carandas",8
"107","aaacdnrs",2,"sandarac",8
"108","aaaceehlp",2,"acalephae",9
"109","aaaceehlp",2,"apalachee",9
"110","aaaceghiloprr",2,"aerographical",13
"111","aaaceghiloprr",2,"areographical",13
"112","aaacehilmnoor",2,"aeolharmonica",13
"113","aaacehilmnoor",2,"chloroanaemia",13
"114","aaacehilnp",2,"acephalina",10
"115","aaacehilnp",2,"phalaecian",10
"116","aaacehlnp",2,"acalephan",9
"117","aaacehlnp",2,"acephalan",9
"118","aaacehlp",2,"acalepha",8
"119","aaacehlp",2,"acephala",8
"120","aaacehrtt",2,"cathartae",9
"121","aaacehrtt",2,"tracheata",9
"122","aaaceillnpt",2,"analeptical",11
"123","aaaceillnpt",2,"placentalia",11
"124","aaaceilmnt",2,"calamitean",10
"125","aaaceilmnt",2,"catamenial",10
"126","aaaceilnnrst",2,"alcantarines",12
"127","aaaceilnnrst",2,"lancasterian",12
"128","aaaceinrt",2,"acraniate",9
"129","aaaceinrt",2,"carinatae",9
"130","aaacelprtty",2,"acalyptrate",11
"131","aaacelprtty",2,"calyptratae",11
"132","aaacelst",2,"catalase",8
"133","aaacelst",2,"salaceta",8
"134","aaacgilm",2,"almaciga",8
"135","aaacgilm",2,"macaglia",8
"136","aaachilnopr",2,"anaphorical",11
"137","aaachilnopr",2,"pharaonical",11
"138","aaachilnt",2,"acanthial",9
"139","aaachilnt",2,"calathian",9
"140","aaachinprsu",2,"parasuchian",11
"141","aaachinprsu",2,"unpharasaic",11
"145","aaachint",2,"acanthia",8
"146","aaachint",2,"achatina",8
"147","aaachllmnorsy",2,"lachrymonasal",13
"148","aaachllmnorsy",2,"nasolachrymal",13
"149","aaacilnst",2,"castalian",9
"150","aaacilnst",2,"satanical",9
"151","aaacilnstt",2,"anastaltic",10
"152","aaacilnstt",2,"catalanist",10
"153","aaacilrv",2,"calvaria",8
"154","aaacilrv",2,"clavaria",8
"155","aaacilst",2,"castalia",8
"156","aaacilst",2,"sacalait",8
"157","aaacimmorz",2,"macromazia",10
"158","aaacimmorz",2,"macrozamia",10
"159","aaacimr",2,"aramaic",7
"160","aaacimr",2,"cariama",7
"164","aaacirt",2,"acratia",7
"165","aaacirt",2,"cataria",7
"169","aaacmnt",2,"matacan",7
"170","aaacmnt",2,"tamanac",7
"174","aaacmrs",2,"marasca",7
"175","aaacmrs",2,"mascara",7
"176","aaacnrt",2,"cantara",7
"177","aaacnrt",2,"nacarat",7
"178","aaacpy",2,"cayapa",6
"179","aaacpy",2,"pacaya",6
"180","aaacr",2,"acara",5
"181","aaacr",2,"araca",5
"182","aaadeginrt",2,"tanagridae",10
"183","aaadeginrt",2,"tangaridae",10
"184","aaadeglnnprrt",2,"grandparental",13
"185","aaadeglnnprrt",2,"grandpaternal",13
"186","aaadeilnnrx",2,"alexandrian",11
"187","aaadeilnnrx",2,"alexandrina",11
"188","aaadeinn",2,"anadenia",8
"189","aaadeinn",2,"danainae",8
"190","aaadeint",2,"anatidae",8
"191","aaadeint",2,"taeniada",8
"192","aaadghiooprrtu",2,"autoradiograph",14
"193","aaadghiooprrtu",2,"radioautograph",14
"194","aaadghiooprrtuy",2,"autoradiography",15
"195","aaadghiooprrtuy",2,"radioautography",15
"196","aaadhnrs",2,"darshana",8
"197","aaadhnrs",2,"shardana",8
"198","aaadiiilnnrttu",2,"altitudinarian",14
"199","aaadiiilnnrttu",2,"latitudinarian",14
"200","aaadinnr",2,"anandria",8
"201","aaadinnr",2,"andriana",8
"202","aaadinps",2,"anapsida",8
"203","aaadinps",2,"anaspida",8
"204","aaadirt",2,"dataria",7
"205","aaadirt",2,"radiata",7
"209","aaadnn",2,"ananda",6
"210","aaadnn",2,"danaan",6
"211","aaadrs",2,"saraad",6
"212","aaadrs",2,"sarada",6
"213","aaaeeghilmopt",2,"hepatomegalia",13
"214","aaaeeghilmopt",2,"megalohepatia",13
"215","aaaegghllnnoprryy",2,"laryngopharyngeal",17
"216","aaaegghllnnoprryy",2,"pharyngolaryngeal",17
"217","aaaeghpprrr",2,"paragrapher",11
"218","aaaeghpprrr",2,"reparagraph",11
"219","aaaegikmnoort",2,"angiokeratoma",13
"220","aaaegikmnoort",2,"keratoangioma",13
"221","aaaegllnnott",2,"gallotannate",12
"222","aaaegllnnott",2,"tannogallate",12
"223","aaaeglt",2,"galatae",7
"224","aaaeglt",2,"galatea",7
"225","aaaeilmoopqrsstu",2,"parietosquamosal",16
"226","aaaeilmoopqrsstu",2,"squamosoparietal",16
"227","aaaeilnprt",2,"parentalia",10
"228","aaaeilnprt",2,"planetaria",10
"229","aaaeilnrv",2,"laverania",9
"230","aaaeilnrv",2,"valeriana",9
"231","aaaeinrr",2,"aerarian",8
"232","aaaeinrr",2,"arenaria",8
"236","aaaelnpt",2,"panatela",8
"237","aaaelnpt",2,"plataean",8
"238","aaaennp",2,"anapnea",7
"239","aaaennp",2,"napaean",7
"240","aaagilrst",2,"astragali",9
"241","aaagilrst",2,"tarsalgia",9
"245","aaagiss",2,"assagai",7
"246","aaagiss",2,"gaiassa",7
"247","aaaglm",2,"agalma",6
"248","aaaglm",2,"malaga",6
"249","aaaglmm",2,"amalgam",7
"250","aaaglmm",2,"malagma",7
"251","aaaglmn",2,"malanga",7
"252","aaaglmn",2,"nagmaal",7
"253","aaagm",2,"agama",5
"254","aaagm",2,"amaga",5
"258","aaahimnr",2,"amiranha",8
"259","aaahimnr",2,"maharani",8
"260","aaahinrt",2,"ratanhia",8
"261","aaahinrt",2,"rhatania",8
"262","aaahips",2,"aphasia",7
"263","aaahips",2,"asaphia",7
"264","aaahlmr",2,"harmala",7
"265","aaahlmr",2,"marhala",7
"266","aaaiimnnnorstt",2,"transamination",14
"267","aaaiimnnnorstt",2,"transanimation",14
"268","aaaiklmn",2,"kalamian",8
"269","aaaiklmn",2,"malikana",8
"270","aaaillpt",2,"palatial",8
"271","aaaillpt",2,"palliata",8
"272","aaailmrt",2,"altamira",8
"273","aaailmrt",2,"matralia",8
"274","aaailnrstu",2,"australian",10
"275","aaailnrstu",2,"saturnalia",10
"279","aaailr",2,"alaria",6
"280","aaailr",2,"aralia",6
"281","aaaimnnot",2,"amnionata",9
"282","aaaimnnot",2,"anamniota",9
"283","aaaimnort",2,"amatorian",9
"284","aaaimnort",2,"inamorata",9
"285","aaaimnr",2,"aramina",7
"286","aaaimnr",2,"mariana",7
"287","aaaimnrst",2,"samaritan",9
"288","aaaimnrst",2,"sarmatian",9
"289","aaaimnrt",2,"anamirta",8
"290","aaaimnrt",2,"araminta",8
"291","aaainrstt",2,"astartian",9
"292","aaainrstt",2,"astrantia",9
"293","aaaiprst",2,"aspirata",8
"294","aaaiprst",2,"parasita",8
"295","aaakmos",2,"akoasma",7
"296","aaakmos",2,"amakosa",7
"297","aaakmrss",2,"makassar",8
"298","aaakmrss",2,"samskara",8
"299","aaalnnorst",2,"antronasal",10
"300","aaalnnorst",2,"nasoantral",10
"301","aaalnt",2,"atalan",6
"302","aaalnt",2,"tanala",6
"303","aaamnrs",2,"ramanas",7
"304","aaamnrs",2,"sramana",7
"305","aaamort",2,"tamarao",7
"306","aaamort",2,"tamaroa",7
"307","aaamp",2,"amapa",5
"308","aaamp",2,"apama",5
"312","aaanoprz",2,"parazoan",8
"313","aaanoprz",2,"zaparoan",8
"314","aaanrtt",2,"tantara",7
"315","aaanrtt",2,"tartana",7
"316","aaanru",2,"arauan",6
"317","aaanru",2,"arauna",6
"318","aaans",2,"anasa",5
"319","aaans",2,"asana",5
"320","aab",2,"aba",3
"321","aab",2,"baa",3
"322","aabb",2,"abba",4
"323","aabb",2,"baba",4
"324","aabbckmrr",2,"barmbrack",9
"325","aabbckmrr",2,"brambrack",9
"326","aabbeiilnnot",2,"inobtainable",12
"327","aabbeiilnnot",2,"nonbilabiate",12
"331","aabbhioopt",2,"batophobia",10
"332","aabbhioopt",2,"tabophobia",10
"333","aabbhn",2,"babhan",6
"334","aabbhn",2,"habnab",6
"335","aabc",2,"abac",4
"336","aabc",2,"caba",4
"337","aabcceiillorv",2,"cervicolabial",13
"338","aabcceiillorv",2,"labiocervical",13
"339","aabcceklr",2,"blackacre",9
"340","aabcceklr",2,"crackable",9
"341","aabccelsu",2,"accusable",9
"342","aabccelsu",2,"subcaecal",9
"343","aabcclnosu",2,"bucconasal",10
"344","aabcclnosu",2,"nasobuccal",10
"345","aabcdeefr",2,"barefaced",9
"346","aabcdeefr",2,"facebread",9
"347","aabcdeiilmnoosv",2,"abdominovesical",15
"348","aabcdeiilmnoosv",2,"vesicoabdominal",15
"349","aabcdeimr",2,"carbamide",9
"350","aabcdeimr",2,"crambidae",9
"351","aabcdeorrst",2,"broadcaster",11
"352","aabcdeorrst",2,"rebroadcast",11
"353","aabcdhinoopr",2,"branchiopoda",12
"354","aabcdhinoopr",2,"podobranchia",12
"355","aabcdkrw",2,"backward",8
"356","aabcdkrw",2,"drawback",8
"357","aabceeehlnsst",2,"cheatableness",13
"358","aabceeehlnsst",2,"teachableness",13
"359","aabceeelnnrsstu",2,"uncreatableness",15
"360","aabceeelnnrsstu",2,"untraceableness",15
"361","aabceehloprr",2,"blepharocera",12
"362","aabceehloprr",2,"reproachable",12
"363","aabceehlt",2,"cheatable",9
"364","aabceehlt",2,"teachable",9
"365","aabceellr",2,"clearable",9
"366","aabceellr",2,"lacerable",9
"367","aabceelnrtu",2,"uncreatable",11
"368","aabceelnrtu",2,"untraceable",11
"369","aabceelorrrstv",2,"sacrovertebral",14
"370","aabceelorrrstv",2,"vertebrosacral",14
"371","aabceelrt",2,"creatable",9
"372","aabceelrt",2,"traceable",9
"373","aabceenr",2,"bearance",8
"374","aabceenr",2,"carabeen",8
"375","aabceflt",2,"factable",8
"376","aabceflt",2,"labefact",8
"377","aabcehinr",2,"brainache",9
"378","aabcehinr",2,"branchiae",9
"379","aabcehlnst",2,"snatchable",10
"380","aabcehlnst",2,"stanchable",10
"381","aabcehls",2,"cashable",8
"382","aabcehls",2,"chasable",8
"383","aabceillprry",2,"bicarpellary",12
"384","aabceillprry",2,"prebacillary",12
"385","aabceilmnootttu",2,"columbotitanate",15
"386","aabceilmnootttu",2,"titanocolumbate",15
"387","aabceilmst",2,"ablastemic",10
"388","aabceilmst",2,"masticable",10
"389","aabceilr",2,"balearic",8
"390","aabceilr",2,"cebalrai",8
"391","aabceilrt",2,"bacterial",9
"392","aabceilrt",2,"calibrate",9
"393","aabceiltv",2,"activable",9
"394","aabceiltv",2,"biclavate",9
"395","aabceimnr",2,"carbamine",9
"396","aabceimnr",2,"crambinae",9
"397","aabcellr",2,"barcella",8
"398","aabcellr",2,"caballer",8
"399","aabcelnpu",2,"uncapable",9
"400","aabcelnpu",2,"unpacable",9
"401","aabcelnr",2,"balancer",8
"402","aabcelnr",2,"barnacle",8
"403","aabcelp",2,"capable",7
"404","aabcelp",2,"pacable",7
"405","aabcelrt",2,"bracteal",8
"406","aabcelrt",2,"cartable",8
"410","aabces",2,"casabe",6
"411","aabces",2,"sabeca",6
"412","aabcfimmooorrsxy",2,"fibromyxosarcoma",16
"413","aabcfimmooorrsxy",2,"myxofibrosarcoma",16
"414","aabcfkll",2,"backfall",8
"415","aabcfkll",2,"fallback",8
"416","aabciilr",2,"biracial",8
"417","aabciilr",2,"cibarial",8
"422","aabcijno",2,"bajocian",8
"423","aabcijno",2,"jacobian",8
"424","aabcillr",2,"bacillar",8
"425","aabcillr",2,"cabrilla",8
"426","aabcillsy",2,"asyllabic",9
"427","aabcillsy",2,"basically",9
"428","aabcilms",2,"balsamic",8
"429","aabcilms",2,"cabalism",8
"430","aabciln",2,"balanic",7
"431","aabciln",2,"caliban",7
"432","aabcilnot",2,"botanical",9
"433","aabcilnot",2,"catabolin",9
"434","aabcilrstu",2,"arcubalist",10
"435","aabcilrstu",2,"ultrabasic",10
"436","aabcilst",2,"basaltic",8
"437","aabcilst",2,"cabalist",8
"438","aabcimnor",2,"carbamino",9
"439","aabcimnor",2,"macrobian",9
"440","aabcin",2,"abanic",6
"441","aabcin",2,"bianca",6
"445","aabcinrt",2,"bactrian",8
"446","aabcinrt",2,"cantabri",8
"447","aabcir",2,"arabic",6
"448","aabcir",2,"cairba",6
"449","aabcksw",2,"backsaw",7
"450","aabcksw",2,"sawback",7
"451","aabckwy",2,"backway",7
"452","aabckwy",2,"wayback",7
"453","aabcllmorsu",2,"lumbosacral",11
"454","aabcllmorsu",2,"sacrolumbal",11
"455","aabclmo",2,"calomba",7
"456","aabclmo",2,"cambalo",7
"457","aabcln",2,"bancal",6
"458","aabcln",2,"blanca",6
"459","aabclprssuu",2,"subcapsular",11
"460","aabclprssuu",2,"subscapular",11
"461","aabclu",2,"albuca",6
"462","aabclu",2,"bacula",6
"463","aabcn",2,"banca",5
"464","aabcn",2,"caban",5
"465","aabco",2,"bacao",5
"466","aabco",2,"caoba",5
"467","aabcort",2,"abactor",7
"468","aabcort",2,"acrobat",7
"469","aabcr",2,"acrab",5
"470","aabcr",2,"braca",5
"471","aabcrs",2,"barsac",6
"472","aabcrs",2,"scarab",6
"476","aabddehor",2,"broadhead",9
"477","aabddehor",2,"headboard",9
"478","aabddeoprrs",2,"broadspread",11
"479","aabddeoprrs",2,"spreadboard",11
"480","aabdeehr",2,"barehead",8
"481","aabdeehr",2,"braehead",8
"482","aabdeeiilmnnotxz",2,"antibenzaldoxime",16
"483","aabdeeiilmnnotxz",2,"benzantialdoxime",16
"484","aabdeell",2,"dealable",8
"485","aabdeell",2,"leadable",8
"486","aabdeelnrtu",2,"untradeable",11
"487","aabdeelnrtu",2,"untreadable",11
"488","aabdefimnoor",2,"adenofibroma",12
"489","aabdefimnoor",2,"fibroadenoma",12
"490","aabdegn",2,"bandage",7
"491","aabdegn",2,"dagbane",7
"492","aabdeillmopt",2,"palmatilobed",12
"493","aabdeillmopt",2,"palmilobated",12
"494","aabdeillnot",2,"dentolabial",11
"495","aabdeillnot",2,"labiodental",11
"496","aabdeiln",2,"baladine",8
"497","aabdeiln",2,"balaenid",8
"498","aabdeilnr",2,"albardine",9
"499","aabdeilnr",2,"drainable",9
"500","aabdeilr",2,"labridae",8
"501","aabdeilr",2,"radiable",8
"502","aabdelor",2,"adorable",8
"503","aabdelor",2,"roadable",8
"504","aabdelrw",2,"drawable",8
"505","aabdelrw",2,"wardable",8
"506","aabdelt",2,"albetad",7
"507","aabdelt",2,"datable",7
"508","aabdemnr",2,"banderma",8
"509","aabdemnr",2,"breadman",8
"510","aabdennor",2,"abandoner",9
"511","aabdennor",2,"reabandon",9
"512","aabdglnor",2,"bandarlog",9
"513","aabdglnor",2,"langobard",9
"514","aabdgmo",2,"dagomba",7
"515","aabdgmo",2,"gambado",7
"516","aabdhinr",2,"bhandari",8
"517","aabdhinr",2,"hairband",8
"518","aabdiilmntu",2,"antialbumid",11
"519","aabdiilmntu",2,"balantidium",11
"520","aabdiilorty",2,"adorability",11
"521","aabdiilorty",2,"roadability",11
"522","aabdilmnor",2,"laminboard",10
"523","aabdilmnor",2,"lombardian",10
"524","aabdiln",2,"balanid",7
"525","aabdiln",2,"banilad",7
"526","aabdilort",2,"broadtail",9
"527","aabdilort",2,"tailboard",9
"528","aabdin",2,"badian",6
"529","aabdin",2,"indaba",6
"530","aabdlnu",2,"balunda",7
"531","aabdlnu",2,"bulanda",7
"532","aabdlorr",2,"labrador",8
"533","aabdlorr",2,"larboard",8
"534","aabdn",2,"badan",5
"535","aabdn",2,"banda",5
"536","aabdnr",2,"bandar",6
"537","aabdnr",2,"raband",6
"541","aabdr",2,"barad",5
"542","aabdr",2,"draba",5
"543","aabdt",2,"abdat",5
"544","aabdt",2,"batad",5
"545","aabeeelmnnnssu",2,"unamenableness",14
"546","aabeeelmnnnssu",2,"unnameableness",14
"547","aabeegkr",2,"brakeage",8
"548","aabeegkr",2,"breakage",8
"549","aabeehklrrt",2,"halterbreak",11
"550","aabeehklrrt",2,"leatherbark",11
"551","aabeehlt",2,"hateable",8
"552","aabeehlt",2,"heatable",8
"553","aabeeklmrt",2,"marketable",10
"554","aabeeklmrt",2,"tablemaker",10
"555","aabeellnprt",2,"planetabler",11
"556","aabeellnprt",2,"replantable",11
"557","aabeellnsu",2,"unleasable",10
"558","aabeellnsu",2,"unsealable",10
"559","aabeellqu",2,"aquabelle",9
"560","aabeellqu",2,"equalable",9
"561","aabeellrt",2,"alterable",9
"562","aabeellrt",2,"relatable",9
"563","aabeells",2,"leasable",8
"564","aabeells",2,"sealable",8
"565","aabeelmn",2,"amenable",8
"566","aabeelmn",2,"nameable",8
"567","aabeelmnnu",2,"unamenable",10
"568","aabeelmnnu",2,"unnameable",10
"569","aabeelmprtu",2,"perambulate",11
"570","aabeelmprtu",2,"preambulate",11
"571","aabeelnrrstu",2,"subterraneal",12
"572","aabeelnrrstu",2,"unarrestable",12
"573","aabeelnrttu",2,"entablature",11
"574","aabeelnrttu",2,"untreatable",11
"575","aabeelnsttu",2,"unstateable",11
"576","aabeelnsttu",2,"untasteable",11
"577","aabeelprs",2,"separable",9
"578","aabeelprs",2,"spareable",9
"582","aabeelrt",2,"elabrate",8
"583","aabeelrt",2,"tearable",8
"584","aabeflmr",2,"farmable",8
"585","aabeflmr",2,"framable",8
"586","aabegggllry",2,"gallybagger",11
"587","aabegggllry",2,"gallybeggar",11
"588","aabeghhmooprrrt",2,"barothermograph",15
"589","aabeghhmooprrrt",2,"thermobarograph",15
"590","aabegil",2,"algieba",7
"591","aabegil",2,"bailage",7
"592","aabeginrr",2,"bargainer",9
"593","aabeginrr",2,"rebargain",9
"594","aabeglr",2,"algebar",7
"595","aabeglr",2,"algebra",7
"596","aabegmr",2,"bergama",7
"597","aabegmr",2,"megabar",7
"598","aabehinrr",2,"harebrain",9
"599","aabehinrr",2,"herbarian",9
"600","aabehlms",2,"baalshem",8
"601","aabehlms",2,"shamable",8
"605","aabeiilmnntuy",2,"unamenability",13
"606","aabeiilmnntuy",2,"unnameability",13
"607","aabeiilmnty",2,"amenability",11
"608","aabeiilmnty",2,"nameability",11
"609","aabeiilnorrt",2,"irrationable",12
"610","aabeiilnorrt",2,"orbitelarian",12
"611","aabeiinrst",2,"antirabies",10
"612","aabeiinrst",2,"bestiarian",10
"613","aabeilll",2,"alliable",8
"614","aabeilll",2,"labiella",8
"615","aabeillmnot",2,"labiomental",11
"616","aabeillmnot",2,"mentolabial",11
"617","aabeillnuv",2,"invaluable",10
"618","aabeillnuv",2,"unvailable",10
"619","aabeillorv",2,"bialveolar",10
"620","aabeillorv",2,"labiovelar",10
"621","aabeills",2,"isabella",8
"622","aabeills",2,"sailable",8
"623","aabeilmn",2,"animable",8
"624","aabeilmn",2,"maniable",8
"625","aabeilmnoprtu",2,"perambulation",13
"626","aabeilmnoprtu",2,"preambulation",13
"627","aabeilmntu",2,"albuminate",10
"628","aabeilmntu",2,"antelabium",10
"629","aabeiln",2,"abelian",7
"630","aabeiln",2,"nebalia",7
"631","aabeilnoprrttu",2,"perturbational",14
"632","aabeilnoprrttu",2,"protuberantial",14
"633","aabeilnort",2,"alboranite",10
"634","aabeilnort",2,"rationable",10
"635","aabeilnrt",2,"albertina",9
"636","aabeilnrt",2,"trainable",9
"640","aabeilnstu",2,"balaustine",10
"641","aabeilnstu",2,"unsatiable",10
"645","aabeilntu",2,"laubanite",9
"646","aabeilntu",2,"unlabiate",9
"647","aabeilps",2,"ablepsia",8
"648","aabeilps",2,"epibasal",8
"649","aabeilrrst",2,"arbalister",10
"650","aabeilrrst",2,"breastrail",10
"651","aabeilst",2,"bisaltae",8
"652","aabeilst",2,"satiable",8
"656","aabeinrrtw",2,"brainwater",10
"657","aabeinrrtw",2,"waterbrain",10
"658","aabeinrt",2,"atabrine",8
"659","aabeinrt",2,"rabatine",8
"660","aabeinsst",2,"bassanite",9
"661","aabeinsst",2,"sebastian",9
"665","aabelllpry",2,"ballplayer",10
"666","aabelllpry",2,"preallably",10
"667","aabellrst",2,"ballaster",9
"668","aabellrst",2,"reballast",9
"672","aabellt",2,"ballate",7
"673","aabellt",2,"tabella",7
"674","aabelmnnuy",2,"unamenably",10
"675","aabelmnnuy",2,"unnameably",10
"676","aabelmoprrtuy",2,"perambulatory",13
"677","aabelmoprrtuy",2,"preambulatory",13
"678","aabelmprru",2,"praelabrum",10
"679","aabelmprru",2,"preambular",10
"680","aabelmrtu",2,"maturable",9
"681","aabelmrtu",2,"metabular",9
"682","aabelmst",2,"blastema",8
"683","aabelmst",2,"lambaste",8
"684","aabelno",2,"abalone",7
"685","aabelno",2,"balonea",7
"686","aabelnsttu",2,"unstatable",10
"687","aabelnsttu",2,"untastable",10
"688","aabelnstu",2,"sublanate",9
"689","aabelnstu",2,"unsatable",9
"690","aabelorst",2,"astrolabe",9
"691","aabelorst",2,"roastable",9
"698","aabelrstu",2,"balaustre",9
"699","aabelrstu",2,"saturable",9
"703","aabelrtty",2,"tabletary",9
"704","aabelrtty",2,"treatably",9
"705","aabelrtu",2,"bataleur",8
"706","aabelrtu",2,"tabulare",8
"707","aabelrty",2,"betrayal",8
"708","aabelrty",2,"tearably",8
"709","aabelstt",2,"statable",8
"710","aabelstt",2,"tastable",8
"711","aabelsty",2,"stayable",8
"712","aabelsty",2,"teasably",8
"713","aabeosttu",2,"aetobatus",9
"714","aabeosttu",2,"eastabout",9
"715","aabers",2,"abaser",6
"716","aabers",2,"abrase",6
"728","aabfgiimnoor",2,"angiofibroma",12
"729","aabfgiimnoor",2,"fibroangioma",12
"730","aabflott",2,"faltboat",8
"731","aabflott",2,"flatboat",8
"732","aabft",2,"abaft",5
"733","aabft",2,"bafta",5
"734","aabghns",2,"bangash",7
"735","aabghns",2,"nashgab",7
"736","aabgilllooss",2,"glossolabial",12
"737","aabgilllooss",2,"labioglossal",12
"738","aabgilnru",2,"biangular",9
"739","aabgilnru",2,"bulgarian",9
"743","aabhinnot",2,"bathonian",9
"744","aabhinnot",2,"nabothian",9
"745","aabhint",2,"abthain",7
"746","aabhint",2,"habitan",7
"747","aabhitt",2,"habitat",7
"748","aabhitt",2,"tabitha",7
"749","aabhks",2,"abkhas",6
"750","aabhks",2,"kasbah",6
"751","aabhms",2,"ambash",6
"752","aabhms",2,"shamba",6
"753","aabhr",2,"bahar",5
"754","aabhr",2,"bhara",5
"755","aabiilnsty",2,"insatiably",10
"756","aabiilnsty",2,"sanability",10
"757","aabiinnrt",2,"antiabrin",9
"758","aabiinnrt",2,"britannia",9
"759","aabil",2,"balai",5
"760","aabil",2,"labia",5
"761","aabill",2,"abilla",6
"762","aabill",2,"labial",6
"763","aabillly",2,"alliably",8
"764","aabillly",2,"labially",8
"768","aabilmru",2,"albarium",8
"769","aabilmru",2,"brumalia",8
"770","aabiln",2,"albian",6
"771","aabiln",2,"bilaan",6
"772","aabilnoorst",2,"nasoorbital",11
"773","aabilnoorst",2,"orbitonasal",11
"774","aabilnot",2,"ablation",8
"775","aabilnot",2,"obtainal",8
"776","aabilnr",2,"blarina",7
"777","aabilnr",2,"branial",7
"778","aabiloortuv",2,"ovariotubal",11
"779","aabiloortuv",2,"tuboovarial",11
"780","aabils",2,"basial",6
"781","aabils",2,"blasia",6
"782","aabimors",2,"ambrosia",8
"783","aabimors",2,"saboraim",8
"784","aabimr",2,"bairam",6
"785","aabimr",2,"bramia",6
"786","aabimrs",2,"abramis",7
"787","aabimrs",2,"arabism",7
"788","aabinors",2,"abrasion",8
"789","aabinors",2,"sorabian",8
"790","aabins",2,"sabian",6
"791","aabins",2,"sabina",6
"792","aabinv",2,"baniva",6
"793","aabinv",2,"bavian",6
"794","aabiny",2,"baniya",6
"795","aabiny",2,"banyai",6
